,gene,chromosome,start,stop,W/C,start_promoter,promoter_median,start_tss,max_frecuency(YPD),freq_total(sum),count_samples(freq),GC_start-100,GC_tss-100,GC_start-200,GC_tss-200,GC_start-300,GC_tss-300,GC_start-400,GC_tss-400,GC_start-500,GC_tss-500,GC_start-600,GC_tss-600
YEL072W,RMD6,5,13720.0,14415.0,1,13120.0,13420.0,13590.0,9.0,46.0,59.0,34.0,28.0,61.0,60.0,94.0,107.0,135.0,150.0,182.0,182.0,216.0,226.0
YER001W,MNN1,5,153520.0,155808.0,1,152920.0,153220.0,153471.0,24.0,136.0,103.0,35.0,30.0,64.0,74.0,109.0,111.0,154.0,167.0,203.0,205.0,236.0,242.0
YER002W,NOP16,5,156803.0,157498.0,1,156203.0,156503.0,156754.0,388.0,1518.0,248.0,26.0,29.0,54.0,57.0,85.0,91.0,117.0,122.0,148.0,150.0,182.0,184.0
YER003C,PMI40,5,159118.0,157736.0,-1,159718.0,159418.0,159162.0,95.0,1264.0,482.0,29.0,35.0,71.0,74.0,111.0,122.0,163.0,166.0,206.0,220.0,261.0,265.0
YER004W,FMP52,5,159580.0,160275.0,1,158980.0,159280.0,159572.0,375.0,1858.0,207.0,42.0,43.0,94.0,92.0,136.0,134.0,170.0,168.0,205.0,203.0,235.0,237.0
YER005W,YND1,5,160550.0,162442.0,1,159950.0,160250.0,160509.0,8.0,148.0,128.0,33.0,26.0,62.0,63.0,107.0,109.0,152.0,154.0,200.0,204.0,246.0,254.0
YER006W,NUG1,5,162723.0,164285.0,1,162123.0,162423.0,162684.0,188.0,1432.0,472.0,31.0,38.0,68.0,69.0,104.0,107.0,151.0,155.0,193.0,196.0,233.0,234.0
YER007C-A,TMA20,5,166885.0,166237.0,-1,167485.0,167185.0,166925.0,33.0,732.0,464.0,28.0,24.0,53.0,52.0,92.0,95.0,129.0,130.0,163.0,161.0,195.0,196.0
YER007W,PAC2,5,164527.0,166083.0,1,163927.0,164227.0,164506.0,15.0,140.0,127.0,24.0,23.0,46.0,46.0,81.0,79.0,118.0,117.0,159.0,161.0,199.0,200.0
YER008C,SEC3,5,171818.0,167808.0,-1,172418.0,172118.0,171837.0,1.0,4.0,7.0,38.0,41.0,77.0,84.0,111.0,114.0,148.0,151.0,185.0,191.0,231.0,234.0
YER009W,NTF2,5,172115.0,172492.0,1,171515.0,171815.0,172081.0,132.0,1696.0,400.0,34.0,37.0,72.0,75.0,111.0,117.0,154.0,162.0,203.0,205.0,240.0,245.0
YER011W,TIR1,5,175248.0,176012.0,1,174648.0,174948.0,175194.0,12.0,101.0,40.0,28.0,31.0,64.0,74.0,107.0,117.0,147.0,162.0,202.0,207.0,240.0,255.0
YER012W,PRE1,5,177835.0,178431.0,1,177235.0,177535.0,177774.0,33.0,610.0,334.0,31.0,35.0,73.0,80.0,112.0,122.0,148.0,155.0,191.0,199.0,233.0,233.0
YER013W,PRP22,5,178841.0,182278.0,1,178241.0,178541.0,178823.0,1.0,1.0,2.0,32.0,33.0,69.0,71.0,100.0,100.0,127.0,128.0,166.0,168.0,200.0,204.0
YER014W,HEM14,5,182600.0,184219.0,1,182000.0,182300.0,182546.0,14.0,90.0,66.0,33.0,39.0,74.0,72.0,98.0,100.0,136.0,140.0,180.0,184.0,219.0,224.0
YER015W,FAA2,5,184541.0,186775.0,1,183941.0,184241.0,184519.0,3.0,15.0,51.0,39.0,42.0,90.0,86.0,116.0,117.0,158.0,164.0,203.0,208.0,253.0,259.0
YER016W,BIM1,5,188277.0,189311.0,1,187677.0,187977.0,188257.0,2.0,8.0,22.0,37.0,35.0,79.0,73.0,119.0,117.0,157.0,153.0,193.0,191.0,230.0,226.0
YER017C,AFG3,5,191788.0,189503.0,-1,192388.0,192088.0,191884.0,3.0,16.0,26.0,30.0,38.0,70.0,100.0,131.0,157.0,187.0,215.0,246.0,272.0,302.0,323.0
YER018C,SPC25,5,192624.0,191959.0,-1,193224.0,192924.0,192679.0,17.0,101.0,121.0,33.0,33.0,68.0,76.0,110.0,112.0,153.0,157.0,196.0,202.0,249.0,259.0
YER019C-A,SBH2,5,194539.0,194273.0,-1,195139.0,194839.0,194592.0,199.0,3091.0,899.0,38.0,35.0,74.0,71.0,118.0,121.0,166.0,161.0,209.0,210.0,250.0,250.0
YER019W,ISC1,5,192797.0,194230.0,1,192197.0,192497.0,192417.0,14.0,101.0,89.0,32.0,49.0,72.0,111.0,132.0,167.0,183.0,228.0,236.0,277.0,295.0,308.0
YER020W,GPA2,5,195168.0,196517.0,1,194568.0,194868.0,195075.0,12.0,284.0,320.0,39.0,43.0,83.0,92.0,130.0,135.0,171.0,173.0,211.0,212.0,250.0,257.0
YER021W,RPN3,5,196948.0,198519.0,1,196348.0,196648.0,196917.0,28.0,103.0,82.0,35.0,43.0,70.0,73.0,101.0,99.0,124.0,130.0,159.0,168.0,204.0,215.0
YER022W,SRB4,5,198812.0,200875.0,1,198212.0,198512.0,198782.0,90.0,430.0,87.0,31.0,36.0,67.0,63.0,89.0,94.0,126.0,131.0,162.0,161.0,198.0,201.0
YER023W,PRO3,5,201076.0,201936.0,1,200476.0,200776.0,201051.0,3191.0,12662.0,553.0,33.0,33.0,68.0,69.0,105.0,110.0,145.0,146.0,173.0,174.0,208.0,207.0
YER024W,YAT2,5,202192.0,204963.0,1,201592.0,201892.0,202167.0,1.0,4.0,9.0,20.0,23.0,59.0,59.0,97.0,102.0,142.0,150.0,186.0,192.0,233.0,237.0
YER025W,GCD11,5,205251.0,206834.0,1,204651.0,204951.0,205193.0,648.0,5865.0,587.0,46.0,42.0,82.0,73.0,111.0,111.0,154.0,152.0,203.0,197.0,243.0,236.0
YER026C,CHO1,5,208474.0,207644.0,-1,209074.0,208774.0,208539.0,114.0,2175.0,690.0,22.0,32.0,62.0,76.0,101.0,110.0,130.0,142.0,162.0,171.0,194.0,215.0
YER027C,GAL83,5,210232.0,208979.0,-1,210832.0,210532.0,210301.0,7.0,256.0,299.0,35.0,45.0,76.0,81.0,119.0,122.0,154.0,152.0,182.0,190.0,227.0,232.0
YER028C,MIG3,5,211876.0,210692.0,-1,212476.0,212176.0,211944.0,9.0,52.0,26.0,41.0,31.0,70.0,70.0,108.0,117.0,157.0,156.0,194.0,192.0,224.0,216.0
YER029C,SMB1,5,213177.0,212587.0,-1,213777.0,213477.0,213243.0,17.0,194.0,126.0,36.0,24.0,65.0,64.0,102.0,102.0,138.0,139.0,178.0,180.0,220.0,221.0
YER030W,CHZ1,5,213437.0,213898.0,1,212837.0,213137.0,213424.0,72.0,1048.0,467.0,38.0,40.0,64.0,66.0,105.0,105.0,143.0,145.0,178.0,182.0,221.0,222.0
YER031C,YPT31,5,214747.0,214076.0,-1,215347.0,215047.0,214782.0,51.0,864.0,361.0,39.0,37.0,85.0,80.0,123.0,121.0,167.0,165.0,208.0,206.0,250.0,244.0
YER032W,FIR1,5,215063.0,217693.0,1,214463.0,214763.0,215004.0,5.0,50.0,58.0,38.0,38.0,82.0,77.0,121.0,125.0,165.0,163.0,203.0,212.0,250.0,244.0
YER033C,ZRG8,5,221287.0,218057.0,-1,221887.0,221587.0,221290.0,1.0,3.0,7.0,40.0,41.0,72.0,73.0,105.0,105.0,148.0,147.0,193.0,194.0,221.0,221.0
YER035W,EDC2,5,222639.0,223076.0,1,222039.0,222339.0,222564.0,10.0,150.0,194.0,29.0,45.0,74.0,91.0,123.0,144.0,172.0,186.0,217.0,236.0,271.0,290.0
YER036C,ARB1,5,225199.0,223367.0,-1,225799.0,225499.0,225232.0,367.0,3744.0,468.0,35.0,26.0,65.0,55.0,94.0,93.0,138.0,141.0,184.0,180.0,204.0,202.0
YER037W,PHM8,5,225889.0,226854.0,1,225289.0,225589.0,225868.0,3.0,6.0,17.0,25.0,20.0,50.0,51.0,95.0,106.0,137.0,138.0,169.0,168.0,200.0,199.0
YER038C,KRE29,5,228252.0,226858.0,-1,228852.0,228552.0,228262.0,4.0,35.0,46.0,28.0,25.0,51.0,51.0,92.0,92.0,134.0,134.0,189.0,188.0,224.0,223.0
YER039C,HVG1,5,229205.0,228456.0,-1,229805.0,229505.0,229450.0,2.0,4.0,4.0,38.0,40.0,77.0,81.0,124.0,124.0,160.0,176.0,204.0,227.0,256.0,276.0
YER040W,GLN3,5,229795.0,231987.0,1,229195.0,229495.0,229713.0,10.0,69.0,54.0,51.0,45.0,98.0,82.0,131.0,126.0,178.0,167.0,218.0,206.0,252.0,245.0
YER041W,YEN1,5,232461.0,234740.0,1,231861.0,232161.0,232411.0,5.0,29.0,43.0,32.0,31.0,59.0,58.0,86.0,84.0,118.0,115.0,145.0,146.0,184.0,181.0
YER042W,MXR1,5,234937.0,235491.0,1,234337.0,234637.0,234929.0,12.0,135.0,160.0,26.0,25.0,73.0,72.0,120.0,120.0,166.0,165.0,203.0,202.0,243.0,244.0
YER043C,SAH1,5,237119.0,235770.0,-1,237719.0,237419.0,237143.0,3129.0,10150.0,713.0,34.0,33.0,67.0,67.0,109.0,109.0,138.0,134.0,172.0,175.0,215.0,215.0
YER044C,ERG28,5,238016.0,237570.0,-1,238616.0,238316.0,238055.0,63.0,673.0,352.0,31.0,35.0,67.0,70.0,102.0,110.0,144.0,146.0,177.0,180.0,215.0,219.0
YER045C,ACA1,5,241501.0,240032.0,-1,242101.0,241801.0,241714.0,5.0,34.0,62.0,29.0,35.0,61.0,51.0,94.0,86.0,112.0,135.0,143.0,178.0,195.0,220.0
YER046W,SPO73,5,243180.0,243611.0,1,242580.0,242880.0,243077.0,6.0,51.0,83.0,34.0,33.0,69.0,69.0,105.0,107.0,144.0,151.0,187.0,197.0,233.0,246.0
YER048C,CAJ1,5,248157.0,246982.0,-1,248757.0,248457.0,248224.0,242.0,1737.0,501.0,36.0,45.0,81.0,96.0,132.0,129.0,164.0,163.0,194.0,196.0,224.0,225.0
YER048W-A,ISD11,5,250718.0,251002.0,1,250118.0,250418.0,250637.0,169.0,1650.0,431.0,37.0,33.0,72.0,66.0,102.0,97.0,137.0,138.0,174.0,178.0,212.0,207.0
YER049W,TPA1,5,251728.0,253662.0,1,251128.0,251428.0,251646.0,192.0,750.0,146.0,29.0,34.0,61.0,70.0,95.0,105.0,135.0,142.0,166.0,171.0,195.0,203.0
YER050C,RSM18,5,254387.0,253971.0,-1,254987.0,254687.0,254434.0,22.0,197.0,161.0,37.0,31.0,68.0,63.0,103.0,103.0,150.0,148.0,188.0,188.0,222.0,220.0
YER051W,JHD1,5,254656.0,256134.0,1,254056.0,254356.0,254640.0,2.0,9.0,17.0,28.0,30.0,61.0,62.0,103.0,104.0,139.0,137.0,175.0,174.0,215.0,216.0
YER052C,HOM3,5,257958.0,256375.0,-1,258558.0,258258.0,258022.0,15.0,216.0,127.0,34.0,29.0,61.0,61.0,95.0,101.0,136.0,137.0,176.0,179.0,216.0,213.0
YER053C,PIC2,5,259639.0,258737.0,-1,260239.0,259939.0,259737.0,24.0,276.0,272.0,30.0,31.0,61.0,60.0,89.0,101.0,131.0,136.0,166.0,175.0,206.0,213.0
YER054C,GIP2,5,263698.0,262052.0,-1,264298.0,263998.0,264300.0,1.0,1.0,44.0,35.0,46.0,69.0,101.0,107.0,140.0,142.0,181.0,179.0,217.0,220.0,246.0
YER055C,HIS1,5,265785.0,264892.0,-1,266385.0,266085.0,265811.0,59.0,1200.0,460.0,27.0,33.0,64.0,72.0,110.0,109.0,144.0,149.0,177.0,184.0,214.0,215.0
YER056C,FCY2,5,268113.0,266512.0,-1,268713.0,268413.0,268200.0,1010.0,3536.0,440.0,25.0,27.0,54.0,54.0,77.0,98.0,123.0,142.0,167.0,183.0,212.0,214.0
YER056C-A,RPL34A,5,270185.0,269423.0,-1,270785.0,270485.0,270217.0,3515.0,23734.0,938.0,33.0,37.0,89.0,95.0,131.0,128.0,164.0,161.0,196.0,191.0,234.0,239.0
YER057C,HMF1,5,271126.0,270737.0,-1,271726.0,271426.0,271169.0,266.0,2935.0,628.0,31.0,36.0,69.0,69.0,106.0,109.0,138.0,144.0,180.0,185.0,216.0,226.0
YER058W,PET117,5,271768.0,272091.0,1,271168.0,271468.0,271736.0,4.0,65.0,127.0,42.0,36.0,82.0,76.0,117.0,110.0,157.0,150.0,190.0,188.0,227.0,219.0
YER059W,PCL6,5,272624.0,273886.0,1,272024.0,272324.0,272442.0,23.0,111.0,113.0,31.0,37.0,67.0,79.0,108.0,103.0,145.0,140.0,171.0,181.0,212.0,223.0
YER060W,FCY21,5,274567.0,276153.0,1,273967.0,274267.0,274438.0,2.0,3.0,5.0,37.0,36.0,77.0,76.0,118.0,107.0,149.0,142.0,182.0,171.0,211.0,210.0
YER060W-A,FCY22,5,276572.0,278164.0,1,275972.0,276272.0,276488.0,1.0,1.0,3.0,30.0,33.0,64.0,68.0,102.0,96.0,129.0,130.0,166.0,181.0,215.0,224.0
YER061C,CEM1,5,279626.0,278298.0,-1,280226.0,279926.0,279666.0,11.0,87.0,77.0,30.0,30.0,53.0,51.0,81.0,84.0,122.0,125.0,167.0,174.0,213.0,220.0
YER062C,GPP2,5,280682.0,279930.0,-1,281282.0,280982.0,280823.0,23.0,381.0,262.0,33.0,27.0,62.0,77.0,105.0,125.0,157.0,178.0,201.0,215.0,246.0,258.0
YER063W,THO1,5,281710.0,282366.0,1,281110.0,281410.0,281649.0,56.0,338.0,234.0,36.0,40.0,79.0,87.0,121.0,126.0,163.0,165.0,202.0,213.0,253.0,257.0
YER064C,VHR2,5,284222.0,282705.0,-1,284822.0,284522.0,284312.0,432.0,2613.0,676.0,31.0,22.0,52.0,65.0,98.0,103.0,134.0,147.0,181.0,194.0,226.0,238.0
YER065C,ICL1,5,286914.0,285241.0,-1,287514.0,287214.0,287239.0,4.0,94.0,143.0,31.0,42.0,69.0,80.0,108.0,117.0,146.0,148.0,191.0,187.0,219.0,223.0
YER066W,RRT13,5,290242.0,290799.0,1,289642.0,289942.0,289350.0,7.0,56.0,88.0,45.0,37.0,88.0,72.0,124.0,111.0,168.0,151.0,200.0,184.0,239.0,225.0
YER067W,RGI1,5,292066.0,292551.0,1,291466.0,291766.0,291990.0,216.0,649.0,335.0,32.0,32.0,62.0,66.0,100.0,110.0,149.0,154.0,190.0,198.0,232.0,235.0
YER068W,MOT2,5,293050.0,294813.0,1,292450.0,292750.0,292983.0,18.0,242.0,133.0,27.0,39.0,62.0,74.0,104.0,112.0,139.0,142.0,171.0,179.0,210.0,218.0
YER069W,"ARG5,6",5,295410.0,298001.0,1,294810.0,295110.0,295337.0,5.0,80.0,50.0,31.0,34.0,70.0,73.0,104.0,108.0,139.0,145.0,174.0,168.0,198.0,200.0
YER070W,RNR1,5,298950.0,301616.0,1,298350.0,298650.0,298911.0,37.0,359.0,249.0,33.0,30.0,58.0,65.0,95.0,101.0,133.0,137.0,168.0,176.0,207.0,210.0
YER071C,TDA2,5,302327.0,301947.0,-1,302927.0,302627.0,302336.0,29.0,229.0,185.0,33.0,34.0,67.0,68.0,103.0,105.0,134.0,139.0,172.0,174.0,216.0,220.0
YER072W,VTC1,5,302806.0,303195.0,1,302206.0,302506.0,302788.0,2943.0,14407.0,892.0,36.0,31.0,71.0,68.0,104.0,105.0,139.0,139.0,170.0,170.0,203.0,202.0
YER073W,ALD5,5,304030.0,305592.0,1,303430.0,303730.0,303952.0,333.0,1285.0,234.0,30.0,27.0,61.0,66.0,97.0,105.0,144.0,155.0,193.0,193.0,227.0,225.0
YER074W,RPS24A,5,306323.0,307196.0,1,305723.0,306023.0,306297.0,170.0,2118.0,461.0,30.0,35.0,83.0,88.0,132.0,135.0,170.0,172.0,197.0,193.0,219.0,214.0
YER074W-A,YOS1,5,307653.0,308123.0,1,307053.0,307353.0,307639.0,75.0,706.0,344.0,34.0,39.0,70.0,72.0,108.0,107.0,133.0,130.0,166.0,168.0,207.0,208.0
YER075C,PTP3,5,311199.0,308413.0,-1,311799.0,311499.0,311361.0,4.0,22.0,33.0,37.0,42.0,73.0,96.0,120.0,137.0,167.0,186.0,215.0,230.0,264.0,278.0
YER077C,MRX1,5,316600.0,314534.0,-1,317200.0,316900.0,316778.0,1.0,1.0,1.0,30.0,39.0,54.0,72.0,91.0,109.0,124.0,146.0,162.0,183.0,199.0,229.0
YER078C,ICP55,5,318342.0,316807.0,-1,318942.0,318642.0,318552.0,19.0,246.0,148.0,35.0,39.0,68.0,85.0,105.0,111.0,153.0,141.0,180.0,182.0,208.0,230.0
YER080W,AIM9,5,319963.0,321846.0,1,319363.0,319663.0,319944.0,41.0,355.0,183.0,41.0,43.0,71.0,68.0,107.0,99.0,130.0,129.0,174.0,174.0,216.0,212.0
YER081W,SER3,5,322686.0,324095.0,1,322086.0,322386.0,322213.0,17.0,104.0,74.0,30.0,27.0,63.0,71.0,105.0,98.0,136.0,127.0,170.0,168.0,202.0,200.0
YER082C,UTP7,5,325936.0,324272.0,-1,326536.0,326236.0,325990.0,86.0,615.0,213.0,31.0,29.0,64.0,58.0,95.0,101.0,141.0,139.0,176.0,180.0,221.0,226.0
YER083C,GET2,5,327031.0,326174.0,-1,327631.0,327331.0,327049.0,194.0,1551.0,277.0,34.0,39.0,83.0,83.0,135.0,139.0,188.0,189.0,218.0,216.0,256.0,254.0
YER086W,ILV1,5,328477.0,330207.0,1,327877.0,328177.0,328438.0,606.0,3970.0,840.0,34.0,35.0,67.0,66.0,97.0,98.0,132.0,135.0,173.0,180.0,219.0,218.0
YER087C-B,SBH1,5,332830.0,332582.0,-1,333430.0,333130.0,332870.0,265.0,2275.0,353.0,38.0,34.0,73.0,64.0,98.0,84.0,129.0,126.0,172.0,170.0,218.0,218.0
YER087W,AIM10,5,330576.0,332306.0,1,329976.0,330276.0,330538.0,20.0,169.0,121.0,35.0,35.0,65.0,61.0,97.0,93.0,122.0,119.0,158.0,157.0,203.0,198.0
YER088C,DOT6,5,335188.0,333176.0,-1,335788.0,335488.0,335318.0,10.0,167.0,163.0,49.0,36.0,84.0,82.0,126.0,134.0,175.0,205.0,239.0,257.0,299.0,305.0
YER089C,PTC2,5,337340.0,335946.0,-1,337940.0,337640.0,337652.0,570.0,3468.0,666.0,29.0,29.0,53.0,61.0,84.0,100.0,116.0,138.0,146.0,179.0,186.0,217.0
YER090W,TRP2,5,337949.0,339472.0,1,337349.0,337649.0,337882.0,144.0,2205.0,408.0,40.0,36.0,70.0,64.0,101.0,100.0,130.0,131.0,159.0,156.0,188.0,192.0
YER091C,MET6,5,342167.0,339864.0,-1,342767.0,342467.0,342237.0,217.0,404.0,129.0,27.0,24.0,51.0,58.0,91.0,106.0,140.0,156.0,186.0,204.0,233.0,242.0
YER092W,IES5,5,342855.0,343232.0,1,342255.0,342555.0,342846.0,57.0,427.0,273.0,34.0,35.0,81.0,83.0,128.0,133.0,178.0,182.0,217.0,218.0,239.0,241.0
YER093C,TSC11,5,347612.0,343320.0,-1,348212.0,347912.0,347672.0,5.0,9.0,9.0,40.0,35.0,68.0,69.0,108.0,106.0,154.0,152.0,194.0,197.0,239.0,234.0
YER093C-A,AIM11,5,348400.0,347912.0,-1,349000.0,348700.0,348423.0,1.0,2.0,6.0,37.0,42.0,82.0,79.0,113.0,116.0,156.0,162.0,205.0,209.0,257.0,258.0
YER094C,PUP3,5,349346.0,348729.0,-1,349946.0,349646.0,349436.0,550.0,3148.0,462.0,35.0,46.0,82.0,88.0,121.0,134.0,168.0,185.0,218.0,224.0,257.0,262.0
YER095W,RAD51,5,349980.0,351182.0,1,349380.0,349680.0,349913.0,48.0,578.0,360.0,36.0,41.0,81.0,88.0,129.0,134.0,170.0,180.0,220.0,221.0,261.0,256.0
YER096W,SHC1,5,351698.0,353236.0,1,351098.0,351398.0,351582.0,1.0,9.0,33.0,36.0,33.0,67.0,79.0,110.0,111.0,144.0,145.0,176.0,191.0,224.0,233.0
YER098W,UBP9,5,355466.0,357730.0,1,354866.0,355166.0,355284.0,2.0,12.0,54.0,30.0,41.0,70.0,83.0,110.0,129.0,154.0,173.0,204.0,202.0,242.0,238.0
YER099C,PRS2,5,359061.0,358105.0,-1,359661.0,359361.0,359099.0,15.0,272.0,212.0,37.0,35.0,76.0,82.0,122.0,120.0,158.0,162.0,193.0,197.0,237.0,240.0
YER100W,UBC6,5,359562.0,360314.0,1,358962.0,359262.0,359527.0,29.0,252.0,132.0,35.0,37.0,70.0,73.0,117.0,121.0,156.0,157.0,193.0,193.0,236.0,236.0
YER101C,AST2,5,361794.0,360502.0,-1,362394.0,362094.0,361825.0,4.0,37.0,71.0,35.0,42.0,73.0,79.0,112.0,117.0,152.0,154.0,187.0,190.0,214.0,225.0
YER102W,RPS8B,5,363100.0,363702.0,1,362500.0,362800.0,362714.0,180.0,977.0,226.0,26.0,33.0,63.0,86.0,96.0,142.0,138.0,175.0,173.0,212.0,228.0,247.0
YER103W,SSA4,5,364589.0,366517.0,1,363989.0,364289.0,364585.0,7.0,145.0,209.0,26.0,26.0,63.0,63.0,100.0,100.0,141.0,142.0,182.0,182.0,217.0,217.0
YER104W,RTT105,5,366802.0,367428.0,1,366202.0,366502.0,366784.0,84.0,237.0,163.0,35.0,37.0,75.0,70.0,104.0,108.0,167.0,167.0,213.0,217.0,259.0,259.0
YER105C,NUP157,5,372013.0,367838.0,-1,372613.0,372313.0,372034.0,5.0,45.0,49.0,28.0,24.0,55.0,51.0,83.0,81.0,114.0,115.0,152.0,153.0,188.0,184.0
YER107C,GLE2,5,374545.0,373448.0,-1,375145.0,374845.0,374738.0,11.0,247.0,167.0,33.0,31.0,71.0,65.0,103.0,88.0,135.0,126.0,158.0,154.0,197.0,191.0
YER110C,KAP123,5,382103.0,378762.0,-1,382703.0,382403.0,382215.0,106.0,475.0,163.0,36.0,23.0,67.0,59.0,97.0,90.0,133.0,112.0,150.0,141.0,183.0,175.0
YER111C,SWI4,5,385876.0,382595.0,-1,386476.0,386176.0,386069.0,0.0,0.0,2.0,35.0,25.0,70.0,58.0,95.0,95.0,128.0,135.0,165.0,165.0,203.0,205.0
YER112W,LSM4,5,387232.0,387795.0,1,386632.0,386932.0,387131.0,22.0,142.0,79.0,25.0,38.0,63.0,82.0,107.0,107.0,132.0,140.0,165.0,176.0,200.0,214.0
YER113C,TMN3,5,390052.0,387932.0,-1,390652.0,390352.0,390185.0,2.0,18.0,28.0,39.0,30.0,72.0,67.0,101.0,99.0,135.0,131.0,166.0,164.0,197.0,211.0
YER114C,BOI2,5,393712.0,390590.0,-1,394312.0,394012.0,394041.0,1.0,5.0,18.0,27.0,36.0,58.0,76.0,94.0,107.0,126.0,162.0,166.0,212.0,196.0,250.0
YER115C,SPR6,5,394867.0,394292.0,-1,395467.0,395167.0,395084.0,15.0,247.0,214.0,29.0,35.0,62.0,73.0,99.0,107.0,131.0,142.0,169.0,193.0,207.0,235.0
YER116C,SLX8,5,396172.0,395348.0,-1,396772.0,396472.0,396272.0,5.0,53.0,86.0,38.0,33.0,71.0,68.0,106.0,125.0,163.0,178.0,216.0,202.0,240.0,238.0
YER117W,RPL23B,5,396769.0,397653.0,1,396169.0,396469.0,396749.0,23300.0,128862.0,1883.0,25.0,27.0,77.0,82.0,136.0,140.0,170.0,172.0,203.0,204.0,240.0,244.0
YER118C,SHO1,5,399055.0,397952.0,-1,399655.0,399355.0,399247.0,8.0,187.0,181.0,32.0,37.0,72.0,76.0,110.0,116.0,147.0,161.0,186.0,210.0,233.0,249.0
YER119C,AVT6,5,400842.0,399496.0,-1,401442.0,401142.0,400868.0,47.0,428.0,211.0,39.0,44.0,82.0,82.0,124.0,126.0,165.0,167.0,213.0,218.0,264.0,268.0
YER120W,SCS2,5,401135.0,401869.0,1,400535.0,400835.0,401101.0,553.0,4202.0,678.0,41.0,38.0,84.0,79.0,123.0,121.0,174.0,177.0,224.0,225.0,268.0,270.0
YER122C,GLO3,5,404352.0,402871.0,-1,404952.0,404652.0,404433.0,63.0,1397.0,515.0,36.0,30.0,67.0,60.0,100.0,94.0,135.0,134.0,171.0,176.0,218.0,228.0
YER123W,YCK3,5,404813.0,406387.0,1,404213.0,404513.0,404625.0,165.0,835.0,230.0,37.0,29.0,74.0,60.0,104.0,96.0,134.0,136.0,173.0,175.0,211.0,209.0
YER124C,DSE1,5,409063.0,407342.0,-1,409663.0,409363.0,409088.0,328.0,2637.0,753.0,32.0,35.0,67.0,68.0,103.0,104.0,134.0,133.0,175.0,175.0,210.0,215.0
YER125W,RSP5,5,410189.0,412618.0,1,409589.0,409889.0,409685.0,18.0,91.0,65.0,25.0,40.0,60.0,82.0,96.0,112.0,128.0,147.0,165.0,182.0,205.0,216.0
YER126C,NSA2,5,414179.0,413394.0,-1,414779.0,414479.0,414206.0,84.0,676.0,396.0,34.0,36.0,73.0,77.0,107.0,106.0,147.0,151.0,188.0,191.0,232.0,239.0
YER127W,LCP5,5,414481.0,415554.0,1,413881.0,414181.0,414460.0,57.0,394.0,124.0,34.0,32.0,71.0,72.0,106.0,106.0,147.0,150.0,186.0,188.0,228.0,229.0
YER128W,VFA1,5,415859.0,416470.0,1,415259.0,415559.0,415858.0,7.0,106.0,116.0,33.0,33.0,68.0,68.0,90.0,90.0,139.0,139.0,173.0,173.0,214.0,215.0
YER129W,SAK1,5,417281.0,420709.0,1,416681.0,416981.0,416767.0,1.0,1.0,4.0,24.0,42.0,57.0,72.0,89.0,110.0,118.0,154.0,159.0,187.0,195.0,228.0
YER130C,COM2,5,422446.0,421115.0,-1,423046.0,422746.0,422513.0,7.0,37.0,40.0,36.0,42.0,91.0,96.0,139.0,145.0,185.0,184.0,225.0,229.0,267.0,261.0
YER131W,RPS26B,5,423952.0,424311.0,1,423352.0,423652.0,423536.0,231.0,1897.0,389.0,25.0,37.0,61.0,77.0,98.0,113.0,126.0,157.0,157.0,190.0,200.0,232.0
YER133W,GLC7,5,432495.0,433958.0,1,431895.0,432195.0,432426.0,7.0,61.0,57.0,34.0,29.0,66.0,64.0,106.0,103.0,137.0,140.0,177.0,178.0,215.0,217.0
YER136W,GDI1,5,439616.0,440971.0,1,439016.0,439316.0,439541.0,120.0,1171.0,391.0,34.0,37.0,71.0,87.0,121.0,127.0,159.0,161.0,191.0,194.0,225.0,229.0
YER139C,RTR1,5,451243.0,450563.0,-1,451843.0,451543.0,451346.0,6.0,90.0,135.0,32.0,38.0,68.0,69.0,100.0,114.0,145.0,148.0,179.0,182.0,213.0,219.0
YER140W,EMP65,5,451565.0,453235.0,1,450965.0,451265.0,451545.0,4.0,77.0,91.0,36.0,32.0,70.0,69.0,103.0,101.0,143.0,140.0,177.0,177.0,215.0,210.0
YER141W,COX15,5,453459.0,454919.0,1,452859.0,453159.0,453429.0,244.0,1693.0,343.0,31.0,27.0,65.0,66.0,104.0,102.0,142.0,137.0,184.0,185.0,220.0,222.0
YER142C,MAG1,5,456036.0,455146.0,-1,456636.0,456336.0,456054.0,5.0,74.0,153.0,41.0,36.0,77.0,73.0,104.0,104.0,148.0,144.0,180.0,178.0,218.0,215.0
YER143W,DDI1,5,456319.0,457605.0,1,455719.0,456019.0,456249.0,18.0,291.0,237.0,26.0,38.0,69.0,75.0,105.0,114.0,143.0,149.0,176.0,183.0,218.0,229.0
YER144C,UBP5,5,460223.0,457806.0,-1,460823.0,460523.0,460232.0,44.0,269.0,109.0,38.0,37.0,84.0,80.0,111.0,109.0,159.0,159.0,200.0,200.0,239.0,238.0
YER145C,FTR1,5,461740.0,460526.0,-1,462340.0,462040.0,461761.0,64.0,394.0,185.0,39.0,38.0,89.0,89.0,156.0,155.0,205.0,208.0,253.0,250.0,283.0,280.0
YER146W,LSM5,5,462585.0,462866.0,1,461985.0,462285.0,462539.0,38.0,186.0,118.0,47.0,40.0,90.0,86.0,123.0,116.0,161.0,163.0,212.0,212.0,274.0,279.0
